l1 0.093501, l2 0.119783, l3 0.0940253
1.75 , 37.2365 , -113.348 , 34.2325
1.76 , 36.9145 , -113.452 , 0
1.76 , 37.2365 , -113.348 , 34.2325
1.77 , 36.9383 , -113.428 , 0
1.77 , 37.2365 , -113.348 , 34.2325
1.78 , 36.9858 , -113.452 , 0
1.78 , 37.2365 , -113.348 , 34.2325
1.79 , 36.9858 , -113.428 , 0
1.79 , 37.2365 , -113.348 , 34.2325
1.8 , 36.9858 , -113.428 , 0
1.8 , 37.2365 , -113.348 , 34.2325
1.81 , 37.0096 , -113.428 , 0
1.81 , 37.2365 , -113.348 , 34.2325
1.82 , 37.0096 , -113.428 , 0
1.82 , 37.2365 , -113.348 , 34.2325
1.83 , 36.9858 , -113.428 , 0
1.83 , 37.2365 , -113.348 , 34.2325
1.84 , 36.9858 , -113.428 , 0
1.84 , 37.2365 , -113.348 , 34.2325
1.85 , 37.0333 , -113.475 , 0
1.85 , 37.2365 , -113.348 , 34.2325
1.86 , 37.0808 , -113.452 , 0
1.86 , 37.2365 , -113.348 , 34.2325
1.87 , 37.1521 , -113.452 , 0
1.87 , 37.2365 , -113.348 , 34.2325
1.88 , 37.1996 , -113.452 , 0
1.88 , 37.2365 , -113.348 , 34.2325
1.89 , 37.3184 , -113.475 , 0
1.89 , 37.2365 , -113.348 , 34.2325
1.9 , 37.4134 , -113.452 , 0
1.9 , 37.2365 , -113.348 , 34.2325
1.91 , 37.3896 , -113.428 , 0
1.91 , 37.2365 , -113.348 , 34.2325
1.92 , 37.3896 , -113.452 , 0
1.92 , 37.2365 , -113.348 , 34.2325
1.93 , 37.4371 , -113.475 , 0
1.93 , 37.2365 , -113.348 , 34.2325
1.94 , 37.4134 , -113.428 , 0
1.94 , 37.2365 , -113.348 , 34.2325
1.95 , 37.4609 , -113.428 , 0
1.95 , 37.2365 , -113.348 , 34.2325
1.96 , 37.4609 , -113.428 , 0
1.96 , 37.2365 , -113.348 , 34.2325
1.97 , 37.4609 , -113.428 , 0
1.97 , 37.2365 , -113.348 , 34.2325
1.98 , 37.4609 , -113.38 , 0
1.98 , 37.2365 , -113.348 , 34.2325
1.99 , 37.4847 , -113.428 , 0
1.99 , 37.2365 , -113.348 , 34.2325
2 , 37.4847 , -113.452 , 0
2 , 37.2365 , -113.348 , 34.2325
2.01 , 37.5322 , -113.428 , 0
2.01 , 37.2365 , -113.348 , 34.2325
2.02 , 37.6034 , -113.428 , 0
2.02 , 37.2365 , -113.348 , 34.2325
2.03 , 37.6272 , -113.452 , 0
2.03 , 37.2365 , -113.348 , 34.2325
2.04 , 37.6509 , -113.452 , 0
2.04 , 37.2365 , -113.348 , 34.2325
2.05 , 37.6747 , -113.452 , 0
2.05 , 37.2365 , -113.348 , 34.2325
2.06 , 37.6509 , -113.452 , 0
2.06 , 37.2365 , -113.348 , 34.2325
2.07 , 37.7222 , -113.452 , 0
2.07 , 37.2365 , -113.348 , 34.2325
2.08 , 37.746 , -113.475 , 0
2.08 , 37.2365 , -113.348 , 34.2325
2.09 , 37.841 , -113.452 , 0
2.09 , 37.2365 , -113.348 , 34.2325
2.1 , 37.8647 , -113.428 , 0
2.1 , 37.2365 , -113.348 , 34.2325
2.11 , 37.8885 , -113.452 , 0
2.11 , 37.2365 , -113.348 , 34.2325
2.12 , 37.936 , -113.452 , 0
2.12 , 37.2365 , -113.348 , 34.2325
2.13 , 37.9122 , -113.428 , 0
2.13 , 37.2365 , -113.348 , 34.2325
2.14 , 37.936 , -113.428 , 0
2.14 , 37.2365 , -113.348 , 34.2325
2.15 , 37.936 , -113.452 , 0
2.15 , 37.2365 , -113.348 , 34.2325
2.16 , 37.9122 , -113.428 , 0
2.16 , 37.2365 , -113.348 , 34.2325
2.17 , 37.936 , -113.475 , 0
2.17 , 37.2365 , -113.348 , 34.2325
2.18 , 37.9597 , -113.452 , 0
2.18 , 37.2365 , -113.348 , 34.2325
2.19 , 37.936 , -113.428 , 0
2.19 , 37.2365 , -113.348 , 34.2325
2.2 , 37.936 , -113.428 , 0
2.2 , 37.2365 , -113.348 , 34.2325
2.21 , 37.936 , -113.452 , 0
2.21 , 37.2365 , -113.348 , 34.2325
2.22 , 37.9122 , -113.428 , 0
2.22 , 37.2365 , -113.348 , 34.2325
2.23 , 37.936 , -113.475 , 0
2.23 , 37.2365 , -113.348 , 34.2325
2.24 , 37.936 , -113.428 , 0
2.24 , 37.2365 , -113.348 , 34.2325
2.25 , 37.936 , -113.428 , 0
2.25 , 37.2365 , -113.348 , 34.2325
2.26 , 37.936 , -113.428 , 0
2.26 , 37.2365 , -113.348 , 34.2325
2.27 , 37.936 , -113.475 , 0
2.27 , 37.2365 , -113.348 , 34.2325
2.28 , 37.9122 , -113.452 , 0
2.28 , 37.2365 , -113.348 , 34.2325
2.29 , 37.936 , -113.452 , 0
2.29 , 37.2365 , -113.348 , 34.2325
2.3 , 37.936 , -113.428 , 0
2.3 , 37.2365 , -113.348 , 34.2325
2.31 , 37.936 , -113.452 , 0
2.31 , 37.2365 , -113.348 , 34.2325
2.32 , 37.9122 , -113.452 , 0
2.32 , 37.2365 , -113.348 , 34.2325
2.33 , 37.9122 , -113.452 , 0
2.33 , 37.2365 , -113.348 , 34.2325
2.34 , 37.9122 , -113.428 , 0
2.34 , 37.2365 , -113.348 , 34.2325
2.35 , 37.936 , -113.452 , 0
2.35 , 37.2365 , -113.348 , 34.2325
2.36 , 37.936 , -113.452 , 0
2.36 , 37.2365 , -113.348 , 34.2325
2.37 , 37.936 , -113.452 , 0
2.37 , 37.2365 , -113.348 , 34.2325
2.38 , 37.936 , -113.428 , 0
2.38 , 37.2365 , -113.348 , 34.2325
2.39 , 37.9122 , -113.475 , 0
2.39 , 37.2365 , -113.348 , 34.2325
2.4 , 37.9122 , -113.452 , 0
2.4 , 37.2365 , -113.348 , 34.2325
2.41 , 37.936 , -113.452 , 0
2.41 , 37.2365 , -113.348 , 34.2325
2.42 , 37.936 , -113.428 , 0
2.42 , 37.2365 , -113.348 , 34.2325
2.43 , 37.9597 , -113.452 , 0
2.43 , 37.2365 , -113.348 , 34.2325
2.44 , 37.936 , -113.428 , 0
2.44 , 37.2365 , -113.348 , 34.2325
2.45 , 37.936 , -113.452 , 0
2.45 , 37.2365 , -113.348 , 34.2325
2.46 , 37.936 , -113.452 , 0
2.46 , 37.2365 , -113.348 , 34.2325
2.47 , 37.9122 , -113.428 , 0
2.47 , 37.2365 , -113.348 , 34.2325
2.48 , 37.936 , -113.452 , 0
2.48 , 37.2365 , -113.348 , 34.2325
2.49 , 37.936 , -113.452 , 0
2.49 , 37.2365 , -113.348 , 34.2325
2.5 , 37.9597 , -113.452 , 0
2.5 , 37.2365 , -113.348 , 34.2325
2.51 , 37.9122 , -113.428 , 0
2.51 , 37.2365 , -113.348 , 34.2325
2.52 , 37.936 , -113.475 , 0
2.52 , 37.2365 , -113.348 , 34.2325
2.53 , 37.936 , -113.475 , 0
2.53 , 37.2365 , -113.348 , 34.2325
2.54 , 37.936 , -113.452 , 0
2.54 , 37.2365 , -113.348 , 34.2325
2.55 , 37.936 , -113.452 , 0
2.55 , 37.2365 , -113.348 , 34.2325
2.56 , 37.9597 , -113.452 , 0
2.56 , 37.2365 , -113.348 , 34.2325
2.57 , 37.9122 , -113.452 , 0
2.57 , 37.2365 , -113.348 , 34.2325
2.58 , 37.936 , -113.452 , 0
2.58 , 37.2365 , -113.348 , 34.2325
2.59 , 37.9122 , -113.452 , 0
2.59 , 37.2365 , -113.348 , 34.2325
2.6 , 37.936 , -113.452 , 0
2.6 , 37.2365 , -113.348 , 34.2325
2.61 , 37.936 , -113.428 , 0
2.61 , 37.2365 , -113.348 , 34.2325
2.62 , 37.936 , -113.428 , 0
2.62 , 37.2365 , -113.348 , 34.2325
2.63 , 37.936 , -113.428 , 0
2.63 , 37.2365 , -113.348 , 34.2325
2.64 , 37.936 , -113.452 , 0
2.64 , 37.2365 , -113.348 , 34.2325
2.65 , 37.9122 , -113.452 , 0
2.65 , 37.2365 , -113.348 , 34.2325
2.66 , 37.9122 , -113.452 , 0
2.66 , 37.2365 , -113.348 , 34.2325
2.67 , 37.936 , -113.452 , 0
2.67 , 37.2365 , -113.348 , 34.2325
2.68 , 37.9597 , -113.452 , 0
2.68 , 37.2365 , -113.348 , 34.2325
2.69 , 37.936 , -113.452 , 0
2.69 , 37.2365 , -113.348 , 34.2325
2.7 , 37.936 , -113.452 , 0
2.7 , 37.2365 , -113.348 , 34.2325
2.71 , 37.9122 , -113.452 , 0
2.71 , 37.2365 , -113.348 , 34.2325
2.72 , 37.936 , -113.452 , 0
2.72 , 37.2365 , -113.348 , 34.2325
2.73 , 37.936 , -113.452 , 0
2.73 , 37.2365 , -113.348 , 34.2325
2.74 , 37.9597 , -113.452 , 0
2.74 , 37.2365 , -113.348 , 34.2325
2.75 , 37.936 , -113.452 , 0
2.75 , 37.2365 , -113.348 , 34.2325
2.76 , 37.936 , -113.452 , 0
2.76 , 37.2365 , -113.348 , 34.2325
2.77 , 37.9122 , -113.428 , 0
2.77 , 37.2365 , -113.348 , 34.2325
2.78 , 37.9122 , -113.452 , 0
2.78 , 37.2365 , -113.348 , 34.2325
2.79 , 37.936 , -113.452 , 0
2.79 , 37.2365 , -113.348 , 34.2325
2.8 , 37.936 , -113.452 , 0
2.8 , 37.2365 , -113.348 , 34.2325
2.81 , 37.936 , -113.452 , 0
2.81 , 37.2365 , -113.348 , 34.2325
2.82 , 37.936 , -113.452 , 0
2.82 , 37.2365 , -113.348 , 34.2325
2.83 , 37.9122 , -113.428 , 0
2.83 , 37.2365 , -113.348 , 34.2325
2.84 , 37.9597 , -113.452 , 0
2.84 , 37.2365 , -113.348 , 34.2325
2.85 , 37.936 , -113.428 , 0
2.85 , 37.2365 , -113.348 , 34.2325
2.86 , 37.936 , -113.452 , 0
2.86 , 37.2365 , -113.348 , 34.2325
2.87 , 37.9122 , -113.428 , 0
2.87 , 37.2365 , -113.348 , 34.2325
2.88 , 37.9122 , -113.452 , 0
2.88 , 37.2365 , -113.348 , 34.2325
2.89 , 37.936 , -113.452 , 0
2.89 , 37.2365 , -113.348 , 34.2325
2.9 , 37.936 , -113.452 , 0
2.9 , 37.2365 , -113.348 , 34.2325
2.91 , 37.936 , -113.452 , 0
2.91 , 37.2365 , -113.348 , 34.2325
2.92 , 37.9597 , -113.428 , 0
2.92 , 37.2365 , -113.348 , 34.2325
2.93 , 37.936 , -113.499 , 0
2.93 , 37.2365 , -113.348 , 34.2325
2.94 , 37.9122 , -113.475 , 0
2.94 , 37.2365 , -113.348 , 34.2325
2.95 , 37.9122 , -113.452 , 0
2.95 , 37.2365 , -113.348 , 34.2325
2.96 , 37.9122 , -113.428 , 0
2.96 , 37.2365 , -113.348 , 34.2325
2.97 , 37.936 , -113.452 , 0
2.97 , 37.2365 , -113.348 , 34.2325
2.98 , 37.936 , -113.428 , 0
2.98 , 37.2365 , -113.348 , 34.2325
2.99 , 37.9122 , -113.452 , 0
2.99 , 37.2365 , -113.348 , 34.2325
3 , 37.9122 , -113.452 , 0
3 , 37.2365 , -113.348 , 34.2325
l1 0.0872645, l2 0.117307, l3 0.102738
0 , 37.9122 , -113.428 , 0
0 , 72.9691 , -99.1612 , -15.6856
0.01 , 37.936 , -113.428 , 0
0.01 , 72.9691 , -99.1612 , -15.6856
0.02 , 37.936 , -113.452 , 0
0.02 , 72.9691 , -99.1612 , -15.6856
0.03 , 37.936 , -113.428 , 0
0.03 , 72.9691 , -99.1612 , -15.6856
0.04 , 37.9122 , -113.404 , 0
0.04 , 72.9691 , -99.1612 , -15.6856
0.05 , 37.9122 , -113.404 , 0
0.05 , 72.9691 , -99.1612 , -15.6856
0.06 , 37.9597 , -113.452 , 0
0.06 , 72.9691 , -99.1612 , -15.6856
0.07 , 37.936 , -113.452 , 0
0.07 , 72.9691 , -99.1612 , -15.6856
0.08 , 37.936 , -113.452 , 0
