l1 0.093501, l2 0.119783, l3 0.0940253
1.39 , 37.2365 , -113.348 , 34.2325
1.4 , 37.2946 , -113.57 , 34.3966
1.4 , 37.2365 , -113.348 , 34.2325
1.41 , 37.2946 , -113.594 , 34.4441
1.41 , 37.2365 , -113.348 , 34.2325
1.42 , 37.2946 , -113.594 , 34.3966
1.42 , 37.2365 , -113.348 , 34.2325
1.43 , 37.2946 , -113.57 , 34.4203
1.43 , 37.2365 , -113.348 , 34.2325
1.44 , 37.2946 , -113.594 , 34.4678
1.44 , 37.2365 , -113.348 , 34.2325
1.45 , 37.2946 , -113.523 , 34.4203
1.45 , 37.2365 , -113.348 , 34.2325
1.46 , 37.2946 , -113.57 , 34.3966
1.46 , 37.2365 , -113.348 , 34.2325
1.47 , 37.2946 , -113.594 , 34.3728
1.47 , 37.2365 , -113.348 , 34.2325
1.48 , 37.2946 , -113.547 , 34.3966
1.48 , 37.2365 , -113.348 , 34.2325
1.49 , 37.2946 , -113.57 , 34.3966
1.49 , 37.2365 , -113.348 , 34.2325
1.5 , 37.2946 , -113.57 , 34.3966
1.5 , 37.2365 , -113.348 , 34.2325
1.51 , 37.2946 , -113.523 , 34.4441
1.51 , 37.2365 , -113.348 , 34.2325
1.52 , 37.2946 , -113.57 , 34.4441
1.52 , 37.2365 , -113.348 , 34.2325
1.53 , 37.2946 , -113.57 , 34.3966
1.53 , 37.2365 , -113.348 , 34.2325
1.54 , 37.2946 , -113.523 , 34.4203
1.54 , 37.2365 , -113.348 , 34.2325
1.55 , 37.2946 , -113.594 , 34.4441
1.55 , 37.2365 , -113.348 , 34.2325
1.56 , 37.2946 , -113.523 , 34.4203
1.56 , 37.2365 , -113.348 , 34.2325
1.57 , 37.2946 , -113.57 , 34.4203
1.57 , 37.2365 , -113.348 , 34.2325
1.58 , 37.2946 , -113.547 , 34.3966
1.58 , 37.2365 , -113.348 , 34.2325
1.59 , 37.2946 , -113.523 , 34.4203
1.59 , 37.2365 , -113.348 , 34.2325
1.6 , 37.2946 , -113.547 , 34.4203
1.6 , 37.2365 , -113.348 , 34.2325
1.61 , 37.2709 , -113.547 , 34.3966
1.61 , 37.2365 , -113.348 , 34.2325
1.62 , 37.2946 , -113.57 , 34.4441
1.62 , 37.2365 , -113.348 , 34.2325
1.63 , 37.2709 , -113.547 , 34.4203
1.63 , 37.2365 , -113.348 , 34.2325
1.64 , 37.2946 , -113.523 , 34.4203
1.64 , 37.2365 , -113.348 , 34.2325
1.65 , 37.2709 , -113.523 , 34.4678
1.65 , 37.2365 , -113.348 , 34.2325
1.66 , 37.2946 , -113.57 , 34.4203
1.66 , 37.2365 , -113.348 , 34.2325
1.67 , 37.2709 , -113.499 , 34.3966
1.67 , 37.2365 , -113.348 , 34.2325
1.68 , 37.2709 , -113.523 , 34.3966
1.68 , 37.2365 , -113.348 , 34.2325
1.69 , 37.2946 , -113.499 , 34.3966
1.69 , 37.2365 , -113.348 , 34.2325
1.7 , 37.3184 , -113.475 , 34.3966
1.7 , 37.2365 , -113.348 , 34.2325
1.71 , 37.2946 , -113.452 , 34.3966
1.71 , 37.2365 , -113.348 , 34.2325
1.72 , 37.2946 , -113.404 , 34.4916
1.72 , 37.2365 , -113.348 , 34.2325
1.73 , 37.2946 , -113.38 , 34.4203
1.73 , 37.2365 , -113.348 , 34.2325
1.74 , 37.2946 , -113.404 , 34.3966
1.74 , 37.2365 , -113.348 , 34.2325
1.75 , 37.2946 , -113.428 , 34.4441
1.75 , 37.2365 , -113.348 , 34.2325
1.76 , 37.2946 , -113.428 , 34.4203
1.76 , 37.2365 , -113.348 , 34.2325
1.77 , 37.2946 , -113.404 , 34.3966
1.77 , 37.2365 , -113.348 , 34.2325
1.78 , 37.2946 , -113.404 , 34.3966
1.78 , 37.2365 , -113.348 , 34.2325
1.79 , 37.2946 , -113.38 , 34.3966
1.79 , 37.2365 , -113.348 , 34.2325
1.8 , 37.2946 , -113.404 , 34.3966
1.8 , 37.2365 , -113.348 , 34.2325
1.81 , 37.2946 , -113.404 , 34.3966
1.81 , 37.2365 , -113.348 , 34.2325
1.82 , 37.2946 , -113.404 , 34.3966
1.82 , 37.2365 , -113.348 , 34.2325
1.83 , 37.2946 , -113.404 , 34.4203
1.83 , 37.2365 , -113.348 , 34.2325
1.84 , 37.2946 , -113.404 , 34.3966
1.84 , 37.2365 , -113.348 , 34.2325
1.85 , 37.2946 , -113.428 , 34.3966
1.85 , 37.2365 , -113.348 , 34.2325
1.86 , 37.2946 , -113.357 , 34.4203
1.86 , 37.2365 , -113.348 , 34.2325
1.87 , 37.2946 , -113.38 , 34.3966
1.87 , 37.2365 , -113.348 , 34.2325
1.88 , 37.2709 , -113.404 , 34.3966
1.88 , 37.2365 , -113.348 , 34.2325
1.89 , 37.2946 , -113.404 , 34.4203
1.89 , 37.2365 , -113.348 , 34.2325
1.9 , 37.2946 , -113.333 , 34.3966
1.9 , 37.2365 , -113.348 , 34.2325
1.91 , 37.2946 , -113.404 , 34.3728
1.91 , 37.2365 , -113.348 , 34.2325
1.92 , 37.2709 , -113.428 , 34.3966
1.92 , 37.2365 , -113.348 , 34.2325
1.93 , 37.2709 , -113.404 , 34.4203
1.93 , 37.2365 , -113.348 , 34.2325
1.94 , 37.2709 , -113.404 , 34.3966
1.94 , 37.2365 , -113.348 , 34.2325
1.95 , 37.2709 , -113.38 , 34.3491
1.95 , 37.2365 , -113.348 , 34.2325
1.96 , 37.3184 , -113.404 , 34.3966
1.96 , 37.2365 , -113.348 , 34.2325
1.97 , 37.2946 , -113.38 , 34.3966
1.97 , 37.2365 , -113.348 , 34.2325
1.98 , 37.2709 , -113.38 , 34.3966
1.98 , 37.2365 , -113.348 , 34.2325
1.99 , 37.2709 , -113.38 , 34.3253
1.99 , 37.2365 , -113.348 , 34.2325
2 , 37.2946 , -113.357 , 34.3966
2 , 37.2365 , -113.348 , 34.2325
2.01 , 37.2946 , -113.357 , 34.3966
2.01 , 37.2365 , -113.348 , 34.2325
2.02 , 37.2946 , -113.38 , 34.3728
2.02 , 37.2365 , -113.348 , 34.2325
2.03 , 37.2946 , -113.38 , 34.3491
2.03 , 37.2365 , -113.348 , 34.2325
2.04 , 37.2946 , -113.357 , 34.3491
2.04 , 37.2365 , -113.348 , 34.2325
2.05 , 37.2946 , -113.357 , 34.3491
2.05 , 37.2365 , -113.348 , 34.2325
2.06 , 37.2946 , -113.357 , 34.3491
2.06 , 37.2365 , -113.348 , 34.2325
2.07 , 37.2946 , -113.357 , 34.3728
2.07 , 37.2365 , -113.348 , 34.2325
2.08 , 37.2709 , -113.309 , 34.3253
2.08 , 37.2365 , -113.348 , 34.2325
2.09 , 37.2709 , -113.38 , 34.2778
2.09 , 37.2365 , -113.348 , 34.2325
2.1 , 37.2946 , -113.357 , 34.2303
2.1 , 37.2365 , -113.348 , 34.2325
2.11 , 37.2709 , -113.333 , 34.2778
2.11 , 37.2365 , -113.348 , 34.2325
2.12 , 37.2946 , -113.333 , 34.2065
2.12 , 37.2365 , -113.348 , 34.2325
2.13 , 37.2946 , -113.357 , 34.2065
2.13 , 37.2365 , -113.348 , 34.2325
2.14 , 37.2946 , -113.404 , 34.2065
2.14 , 37.2365 , -113.348 , 34.2325
2.15 , 37.2946 , -113.38 , 34.2303
2.15 , 37.2365 , -113.348 , 34.2325
2.16 , 37.2946 , -113.285 , 34.2065
2.16 , 37.2365 , -113.348 , 34.2325
2.17 , 37.2946 , -113.19 , 34.2065
2.17 , 37.2365 , -113.348 , 34.2325
2.18 , 37.3184 , -113.214 , 34.2065
2.18 , 37.2365 , -113.348 , 34.2325
2.19 , 37.2946 , -113.262 , 34.2065
2.19 , 37.2365 , -113.348 , 34.2325
2.2 , 37.2946 , -113.285 , 34.2065
2.2 , 37.2365 , -113.348 , 34.2325
2.21 , 37.2946 , -113.214 , 34.2065
2.21 , 37.2365 , -113.348 , 34.2325
2.22 , 37.2946 , -113.238 , 34.1828
2.22 , 37.2365 , -113.348 , 34.2325
2.23 , 37.2946 , -113.214 , 34.2065
2.23 , 37.2365 , -113.348 , 34.2325
2.24 , 37.2946 , -113.238 , 34.3016
2.24 , 37.2365 , -113.348 , 34.2325
2.25 , 37.2946 , -113.214 , 34.2065
2.25 , 37.2365 , -113.348 , 34.2325
2.26 , 37.2946 , -113.238 , 34.2065
2.26 , 37.2365 , -113.348 , 34.2325
2.27 , 37.2946 , -113.238 , 34.3016
2.27 , 37.2365 , -113.348 , 34.2325
