0, -nan, -nan, -nan, -nan
5.325, 1, 1, -1.03028, 0.0309848
5.35, 1, 1, -1.0306, 0.0312375
5.375, 1, 1, -1.0306, 0.0312375
5.4, 1, 1, -1.0306, 0.0312375
5.425, 1, 1, -1.0306, 0.0312375
5.45, 1, 1, -1.0306, 0.0312375
5.475, 1, 1, -1.03564, 0.036119
5.5, 1, 1, -1.03564, 0.036119
5.525, 1, 1, -1.0359, 0.0363573
5.55, 1, 1, -1.03591, 0.0363576
5.575, 1, 1, -1.03591, 0.0363576
5.6, 1, 1, -1.03591, 0.0363576
5.625, 1, 1, -1.03676, 0.0369999
5.65, 1, 1, -1.03943, 0.0394596
5.675, 1, 1, -1.03943, 0.0394596
5.7, 1, 1, -1.04215, 0.0420254
5.725, 1, 1, -1.04282, 0.0426338
5.75, 1, 1, -1.04243, 0.0422973
5.775, 1, 1, -1.04243, 0.0422973
5.8, 1, 1, -1.04243, 0.0422973
5.825, 1, 1, -1.04243, 0.0422973
5.85, 1, 1, -1.04243, 0.0422973
5.875, 1, 1, -1.04243, 0.0422973
5.9, 1, 1, -1.04243, 0.0422973
5.925, 1, 1, -1.04243, 0.0422973
5.95, 1, 1, -1.04243, 0.0422973
5.975, 1, 1, -1.04243, 0.0422973
6, 1, 1, -1.04243, 0.0422973
6.025, 1, 1, -1.04558, 0.0454827
6.05, 1, 1, -1.04558, 0.0454827
6.075, 1, 1, -1.04558, 0.0454827
6.1, 1, 1, -1.04747, 0.0474635
6.125, 1, 1, -1.04747, 0.0474635
6.15, 1, 1, -1.04747, 0.0474635
6.175, 1, 1, -1.04747, 0.0474635
6.2, 1, 1, -1.04968, 0.0497351
6.225, 1, 1, -1.04968, 0.0497351
6.25, 1, 1, -1.04968, 0.0497351
6.275, 1, 1, -1.05067, 0.0507695
6.3, 1, 1, -1.05067, 0.0507695
6.325, 1, 1, -1.05158, 0.0517891
6.35, 1, 1, -1.0517, 0.0520511
6.375, 1, 1, -1.0517, 0.0520511
6.4, 1, 1, -1.05481, 0.0552958
6.425, 1, 1, -1.05481, 0.0552958
6.45, 1, 1, -1.05481, 0.0552958
6.475, 1, 1, -1.05481, 0.0552958
6.5, 1, 1, -1.05481, 0.0552958
6.525, 1, 1, -1.05481, 0.0552958
6.55, 1, 1, -1.05481, 0.0552958
6.575, 1, 1, -1.05481, 0.0552958
6.6, 1, 1, -1.05481, 0.0552958
6.625, 1, 1, -1.05481, 0.0552958
6.65, 1, 1, -1.05481, 0.0552958
6.675, 1, 1, -1.05481, 0.0552958
6.7, 1, 1, -1.05481, 0.0552958
6.725, 1, 1, -1.05481, 0.0552958
6.75, 1, 1, -1.0565, 0.0569979
6.775, 1, 1, -1.05774, 0.0583202
6.8, 1, 1, -1.05847, 0.0590864
6.825, 1, 1, -1.05847, 0.0590864
6.85, 1, 1, -1.05847, 0.0590864
