pos1 40.8976, pos2 -146.655, pos3 37.1572
1.55 , 39.9314 , -145.995 , 37.0096
1.55 , 40.8976 , -146.655 , 37.1572
1.56 , 39.9789 , -146.043 , 37.0571
1.56 , 40.8976 , -146.655 , 37.1572
1.57 , 40.0739 , -146.043 , 37.0096
1.57 , 40.8976 , -146.655 , 37.1572
1.58 , 40.0739 , -145.995 , 37.0571
1.58 , 40.8976 , -146.655 , 37.1572
1.59 , 40.0501 , -146.043 , 37.0333
1.59 , 40.8976 , -146.655 , 37.1572
1.6 , 40.0264 , -146.019 , 37.0333
1.6 , 40.8976 , -146.655 , 37.1572
1.61 , 40.0264 , -146.019 , 37.0333
1.61 , 40.8976 , -146.655 , 37.1572
1.62 , 39.9789 , -146.019 , 37.0808
1.62 , 40.8976 , -146.655 , 37.1572
1.63 , 39.9076 , -146.019 , 37.0333
1.63 , 40.8976 , -146.655 , 37.1572
1.64 , 39.9076 , -145.995 , 37.0808
1.64 , 40.8976 , -146.655 , 37.1572
1.65 , 39.9076 , -146.019 , 37.0333
1.65 , 40.8976 , -146.655 , 37.1572
1.66 , 39.9076 , -146.019 , 37.0808
1.66 , 40.8976 , -146.655 , 37.1572
1.67 , 40.0264 , -145.995 , 37.0333
1.67 , 40.8976 , -146.655 , 37.1572
1.68 , 40.0501 , -145.995 , 37.0808
1.68 , 40.8976 , -146.655 , 37.1572
1.69 , 40.0501 , -146.019 , 37.0096
1.69 , 40.8976 , -146.655 , 37.1572
1.7 , 40.0501 , -146.019 , 37.0571
1.7 , 40.8976 , -146.655 , 37.1572
1.71 , 40.0026 , -146.019 , 37.0333
1.71 , 40.8976 , -146.655 , 37.1572
1.72 , 40.0026 , -146.09 , 37.0571
1.72 , 40.8976 , -146.655 , 37.1572
1.73 , 40.0026 , -145.972 , 37.0571
1.73 , 40.8976 , -146.655 , 37.1572
1.74 , 39.9314 , -146.043 , 37.0571
1.74 , 40.8976 , -146.655 , 37.1572
1.75 , 39.9314 , -146.114 , 37.0808
