l1 0.093501, l2 0.119783, l3 0.0940253
0.88 , 37.2365 , -113.348 , 34.2325
0.89 , 6.93632 , -18.7661 , 4.51336
0.89 , 37.2365 , -113.348 , 34.2325
0.9 , 7.53019 , -18.7661 , 4.51336
0.9 , 37.2365 , -113.348 , 34.2325
0.91 , 7.72022 , -18.7898 , 4.51336
0.91 , 37.2365 , -113.348 , 34.2325
0.92 , 7.98152 , -18.7898 , 4.51336
0.92 , 37.2365 , -113.348 , 34.2325
0.93 , 8.67041 , -18.7898 , 4.56087
0.93 , 37.2365 , -113.348 , 34.2325
0.94 , 8.76542 , -18.7898 , 4.58463
0.94 , 37.2365 , -113.348 , 34.2325
0.95 , 8.74167 , -18.7898 , 4.58463
0.95 , 37.2365 , -113.348 , 34.2325
0.96 , 8.76542 , -18.7661 , 4.65589
0.96 , 37.2365 , -113.348 , 34.2325
0.97 , 8.78918 , -18.7898 , 4.98845
0.97 , 37.2365 , -113.348 , 34.2325
0.98 , 8.76542 , -18.8136 , 6.62752
0.98 , 37.2365 , -113.348 , 34.2325
0.99 , 8.78918 , -18.7898 , 9.78687
0.99 , 37.2365 , -113.348 , 34.2325
1 , 8.78918 , -18.8136 , 10.9033
1 , 37.2365 , -113.348 , 34.2325
1.01 , 8.78918 , -18.8136 , 11.1171
1.01 , 37.2365 , -113.348 , 34.2325
1.02 , 8.90795 , -18.8136 , 12.97
1.02 , 37.2365 , -113.348 , 34.2325
1.03 , 9.38304 , -18.8611 , 15.9393
1.03 , 37.2365 , -113.348 , 34.2325
1.04 , 9.90564 , -18.8136 , 16.4144
1.04 , 37.2365 , -113.348 , 34.2325
1.05 , 10.452 , -18.8373 , 16.842
1.05 , 37.2365 , -113.348 , 34.2325
1.06 , 11.521 , -18.8373 , 17.9109
1.06 , 37.2365 , -113.348 , 34.2325
1.07 , 11.7823 , -18.9324 , 18.0534
1.07 , 37.2365 , -113.348 , 34.2325
1.08 , 12.0435 , -19.1699 , 18.2672
1.08 , 37.2365 , -113.348 , 34.2325
1.09 , 12.8037 , -20.0726 , 18.6473
1.09 , 37.2365 , -113.348 , 34.2325
1.1 , 12.9225 , -21.4741 , 18.8136
1.1 , 37.2365 , -113.348 , 34.2325
1.11 , 13.1363 , -22.258 , 19.7875
1.11 , 37.2365 , -113.348 , 34.2325
1.12 , 13.8489 , -23.9208 , 20.2151
1.12 , 37.2365 , -113.348 , 34.2325
1.13 , 14.0627 , -25.4649 , 20.5714
1.13 , 37.2365 , -113.348 , 34.2325
1.14 , 14.0864 , -25.4649 , 21.0703
1.14 , 37.2365 , -113.348 , 34.2325
1.15 , 14.0627 , -25.4649 , 21.1653
1.15 , 37.2365 , -113.348 , 34.2325
1.16 , 14.0864 , -25.5124 , 21.3791
1.16 , 37.2365 , -113.348 , 34.2325
1.17 , 14.0864 , -25.4886 , 21.4979
1.17 , 37.2365 , -113.348 , 34.2325
1.18 , 14.0627 , -25.5124 , 22.1155
1.18 , 37.2365 , -113.348 , 34.2325
1.19 , 14.0864 , -25.5124 , 22.4243
1.19 , 37.2365 , -113.348 , 34.2325
1.2 , 14.1102 , -25.4886 , 22.5193
1.2 , 37.2365 , -113.348 , 34.2325
1.21 , 14.1339 , -25.5124 , 22.7568
1.21 , 37.2365 , -113.348 , 34.2325
1.22 , 14.2765 , -25.5124 , 22.8519
1.22 , 37.2365 , -113.348 , 34.2325
1.23 , 14.609 , -25.5361 , 23.0894
1.23 , 37.2365 , -113.348 , 34.2325
1.24 , 15.0129 , -25.5599 , 23.3982
1.24 , 37.2365 , -113.348 , 34.2325
1.25 , 15.4404 , -25.5361 , 23.707
1.25 , 37.2365 , -113.348 , 34.2325
1.26 , 16.4144 , -25.5361 , 24.1109
1.26 , 37.2365 , -113.348 , 34.2325
1.27 , 16.7707 , -25.5599 , 24.1821
1.27 , 37.2365 , -113.348 , 34.2325
1.28 , 17.1983 , -25.5836 , 24.2059
1.28 , 37.2365 , -113.348 , 34.2325
1.29 , 18.0297 , -25.8212 , 24.3246
1.29 , 37.2365 , -113.348 , 34.2325
1.3 , 18.0772 , -26.5101 , 24.5622
1.3 , 37.2365 , -113.348 , 34.2325
1.31 , 18.7186 , -27.1989 , 24.6572
1.31 , 37.2365 , -113.348 , 34.2325
1.32 , 19.2649 , -27.484 , 24.8235
1.32 , 37.2365 , -113.348 , 34.2325
1.33 , 19.9063 , -28.3629 , 24.871
1.33 , 37.2365 , -113.348 , 34.2325
1.34 , 20.4289 , -29.9307 , 24.9423
1.34 , 37.2365 , -113.348 , 34.2325
1.35 , 20.8802 , -31.9261 , 24.966
1.35 , 37.2365 , -113.348 , 34.2325
1.36 , 21.4741 , -32.3774 , 25.2036
1.36 , 37.2365 , -113.348 , 34.2325
1.37 , 21.9017 , -34.2065 , 25.2748
1.37 , 37.2365 , -113.348 , 34.2325
1.38 , 22.6856 , -36.5345 , 26.1062
1.38 , 37.2365 , -113.348 , 34.2325
1.39 , 22.6381 , -37.8647 , 26.2013
1.39 , 37.2365 , -113.348 , 34.2325
1.4 , 22.9706 , -37.9597 , 26.4388
1.4 , 37.2365 , -113.348 , 34.2325
1.41 , 23.517 , -38.0548 , 27.484
1.41 , 37.2365 , -113.348 , 34.2325
1.42 , 23.5883 , -38.1023 , 27.5315
1.42 , 37.2365 , -113.348 , 34.2325
1.43 , 24.0396 , -38.1498 , 27.7453
1.43 , 37.2365 , -113.348 , 34.2325
1.44 , 24.4197 , -38.126 , 28.1491
1.44 , 37.2365 , -113.348 , 34.2325
1.45 , 24.776 , -38.3873 , 28.2917
1.45 , 37.2365 , -113.348 , 34.2325
1.46 , 25.061 , -39.8839 , 28.3867
1.46 , 37.2365 , -113.348 , 34.2325
1.47 , 25.3936 , -41.7367 , 28.4342
1.47 , 37.2365 , -113.348 , 34.2325
1.48 , 25.6787 , -42.5681 , 28.4579
1.48 , 37.2365 , -113.348 , 34.2325
1.49 , 26.035 , -45.6325 , 28.5292
1.49 , 37.2365 , -113.348 , 34.2325
1.5 , 26.3438 , -47.319 , 28.553
1.5 , 37.2365 , -113.348 , 34.2325
1.51 , 26.7476 , -47.6991 , 28.6005
1.51 , 37.2365 , -113.348 , 34.2325
1.52 , 27.0089 , -49.1006 , 28.6005
1.52 , 37.2365 , -113.348 , 34.2325
1.53 , 27.1039 , -50.4309 , 28.6005
1.53 , 37.2365 , -113.348 , 34.2325
1.54 , 27.0802 , -50.5021 , 28.6005
1.54 , 37.2365 , -113.348 , 34.2325
1.55 , 27.2227 , -50.5259 , 28.6242
1.55 , 37.2365 , -113.348 , 34.2325
1.56 , 27.5315 , -50.5021 , 28.6005
1.56 , 37.2365 , -113.348 , 34.2325
1.57 , 27.7453 , -50.5259 , 28.6005
1.57 , 37.2365 , -113.348 , 34.2325
1.58 , 27.9353 , -50.5259 , 28.648
1.58 , 37.2365 , -113.348 , 34.2325
1.59 , 28.2441 , -50.5259 , 28.648
1.59 , 37.2365 , -113.348 , 34.2325
1.6 , 28.5054 , -50.5497 , 28.648
1.6 , 37.2365 , -113.348 , 34.2325
1.61 , 28.933 , -50.5497 , 28.648
1.61 , 37.2365 , -113.348 , 34.2325
1.62 , 29.2418 , -50.5259 , 28.648
1.62 , 37.2365 , -113.348 , 34.2325
1.63 , 29.8357 , -50.5259 , 28.6242
1.63 , 37.2365 , -113.348 , 34.2325
1.64 , 30.4058 , -50.5497 , 28.648
1.64 , 37.2365 , -113.348 , 34.2325
1.65 , 30.3821 , -50.5497 , 28.648
1.65 , 37.2365 , -113.348 , 34.2325
1.66 , 30.7621 , -50.5497 , 28.6242
1.66 , 37.2365 , -113.348 , 34.2325
1.67 , 31.0947 , -50.5734 , 28.6717
1.67 , 37.2365 , -113.348 , 34.2325
1.68 , 31.451 , -50.5497 , 28.6955
1.68 , 37.2365 , -113.348 , 34.2325
1.69 , 31.8548 , -50.5734 , 28.6717
1.69 , 37.2365 , -113.348 , 34.2325
1.7 , 32.1161 , -50.6447 , 28.6955
1.7 , 37.2365 , -113.348 , 34.2325
1.71 , 32.2587 , -51.001 , 28.6955
1.71 , 37.2365 , -113.348 , 34.2325
1.72 , 32.52 , -51.5711 , 28.7192
1.72 , 37.2365 , -113.348 , 34.2325
1.73 , 32.6862 , -52.545 , 28.743
1.73 , 37.2365 , -113.348 , 34.2325
1.74 , 32.8525 , -52.8776 , 28.743
1.74 , 37.2365 , -113.348 , 34.2325
1.75 , 33.0426 , -53.2339 , 28.7667
1.75 , 37.2365 , -113.348 , 34.2325
1.76 , 33.2088 , -53.9228 , 28.743
1.76 , 37.2365 , -113.348 , 34.2325
1.77 , 33.2326 , -56.037 , 28.743
1.77 , 37.2365 , -113.348 , 34.2325
1.78 , 33.4701 , -57.8898 , 28.7667
1.78 , 37.2365 , -113.348 , 34.2325
1.79 , 33.6127 , -58.1274 , 28.7667
1.79 , 37.2365 , -113.348 , 34.2325
1.8 , 33.9452 , -58.745 , 28.7905
1.8 , 37.2365 , -113.348 , 34.2325
1.81 , 34.1115 , -59.0775 , 28.8143
1.81 , 37.2365 , -113.348 , 34.2325
1.82 , 34.2065 , -59.0775 , 28.8143
1.82 , 37.2365 , -113.348 , 34.2325
1.83 , 34.2303 , -59.1013 , 28.838
1.83 , 37.2365 , -113.348 , 34.2325
1.84 , 34.2778 , -59.0775 , 28.838
1.84 , 37.2365 , -113.348 , 34.2325
1.85 , 34.3253 , -59.1013 , 28.8143
1.85 , 37.2365 , -113.348 , 34.2325
1.86 , 34.5629 , -59.125 , 28.8618
1.86 , 37.2365 , -113.348 , 34.2325
1.87 , 34.8479 , -59.1013 , 28.8855
1.87 , 37.2365 , -113.348 , 34.2325
1.88 , 34.8954 , -59.1013 , 28.8855
1.88 , 37.2365 , -113.348 , 34.2325
1.89 , 34.8717 , -59.125 , 28.9093
1.89 , 37.2365 , -113.348 , 34.2325
1.9 , 35.0379 , -59.5289 , 28.8618
1.9 , 37.2365 , -113.348 , 34.2325
1.91 , 35.133 , -60.9779 , 28.9093
1.91 , 37.2365 , -113.348 , 34.2325
1.92 , 35.2755 , -62.4507 , 28.933
1.92 , 37.2365 , -113.348 , 34.2325
1.93 , 35.418 , -62.8307 , 28.9568
1.93 , 37.2365 , -113.348 , 34.2325
1.94 , 35.5368 , -63.6859 , 28.9568
1.94 , 37.2365 , -113.348 , 34.2325
1.95 , 35.5843 , -65.2537 , 29.1231
1.95 , 37.2365 , -113.348 , 34.2325
1.96 , 35.6318 , -66.8928 , 29.6694
1.96 , 37.2365 , -113.348 , 34.2325
1.97 , 35.6318 , -67.4154 , 29.7169
1.97 , 37.2365 , -113.348 , 34.2325
1.98 , 35.7031 , -70.3609 , 29.7169
1.98 , 37.2365 , -113.348 , 34.2325
1.99 , 35.7268 , -74.3755 , 29.8357
1.99 , 37.2365 , -113.348 , 34.2325
2 , 35.7981 , -75.3731 , 29.8119
2 , 37.2365 , -113.348 , 34.2325
2.01 , 35.8218 , -76.4183 , 29.907
2.01 , 37.2365 , -113.348 , 34.2325
2.02 , 35.8931 , -80.5754 , 29.8832
