l1 0.093501, l2 0.119783, l3 0.0940253
0.95 , 32.9 , -109.532 , 29.5744
0.95 , 37.2365 , -113.348 , 34.2325
0.96 , 32.8763 , -109.556 , 29.5506
0.96 , 37.2365 , -113.348 , 34.2325
0.97 , 32.8763 , -109.603 , 29.5506
0.97 , 37.2365 , -113.348 , 34.2325
0.98 , 32.9 , -109.675 , 29.5744
0.98 , 37.2365 , -113.348 , 34.2325
0.99 , 32.9 , -109.651 , 29.5982
0.99 , 37.2365 , -113.348 , 34.2325
1 , 32.8288 , -109.698 , 29.5744
1 , 37.2365 , -113.348 , 34.2325
1.01 , 32.9 , -109.698 , 29.5744
1.01 , 37.2365 , -113.348 , 34.2325
1.02 , 32.8763 , -109.698 , 29.5744
1.02 , 37.2365 , -113.348 , 34.2325
1.03 , 32.9 , -109.722 , 29.5982
1.03 , 37.2365 , -113.348 , 34.2325
1.04 , 32.8763 , -109.746 , 29.6219
1.04 , 37.2365 , -113.348 , 34.2325
1.05 , 32.8288 , -109.746 , 29.5982
1.05 , 37.2365 , -113.348 , 34.2325
1.06 , 32.9 , -109.746 , 29.6219
1.06 , 37.2365 , -113.348 , 34.2325
1.07 , 32.9 , -109.746 , 29.5982
1.07 , 37.2365 , -113.348 , 34.2325
1.08 , 32.8763 , -109.77 , 29.5744
1.08 , 37.2365 , -113.348 , 34.2325
1.09 , 32.9238 , -109.77 , 29.5982
1.09 , 37.2365 , -113.348 , 34.2325
1.1 , 32.9 , -109.793 , 29.6219
1.1 , 37.2365 , -113.348 , 34.2325
1.11 , 32.9 , -109.793 , 29.7407
1.11 , 37.2365 , -113.348 , 34.2325
1.12 , 32.9238 , -109.793 , 29.7644
1.12 , 37.2365 , -113.348 , 34.2325
1.13 , 32.9 , -109.817 , 29.7882
1.13 , 37.2365 , -113.348 , 34.2325
1.14 , 32.8763 , -109.817 , 29.907
1.14 , 37.2365 , -113.348 , 34.2325
1.15 , 32.9238 , -109.841 , 30.2395
1.15 , 37.2365 , -113.348 , 34.2325
1.16 , 32.8763 , -109.865 , 31.0709
1.16 , 37.2365 , -113.348 , 34.2325
1.17 , 32.9 , -109.865 , 32.1399
1.17 , 37.2365 , -113.348 , 34.2325
1.18 , 32.8763 , -109.865 , 32.71
1.18 , 37.2365 , -113.348 , 34.2325
1.19 , 32.8525 , -109.865 , 32.3774
1.19 , 37.2365 , -113.348 , 34.2325
1.2 , 32.9 , -109.888 , 32.3062
1.2 , 37.2365 , -113.348 , 34.2325
1.21 , 32.8763 , -109.865 , 32.3537
1.21 , 37.2365 , -113.348 , 34.2325
1.22 , 32.9 , -109.888 , 32.3062
1.22 , 37.2365 , -113.348 , 34.2325
1.23 , 32.9 , -109.888 , 32.3537
1.23 , 37.2365 , -113.348 , 34.2325
1.24 , 32.8525 , -109.888 , 32.3062
1.24 , 37.2365 , -113.348 , 34.2325
