l1 0.093501, l2 0.119783, l3 0.0940253
1.31 , 37.2365 , -113.348 , 34.2325
1.32 , 35.3943 , -85.4688 , 23.8258
1.32 , 37.2365 , -113.348 , 34.2325
1.33 , 35.3943 , -86.609 , 23.8258
1.33 , 37.2365 , -113.348 , 34.2325
1.34 , 35.4655 , -87.2504 , 23.8496
1.34 , 37.2365 , -113.348 , 34.2325
1.35 , 35.4655 , -87.4642 , 23.802
1.35 , 37.2365 , -113.348 , 34.2325
1.36 , 35.513 , -88.4856 , 23.8733
1.36 , 37.2365 , -113.348 , 34.2325
1.37 , 35.4893 , -89.0082 , 23.8258
1.37 , 37.2365 , -113.348 , 34.2325
1.38 , 35.4893 , -89.4121 , 23.8733
1.38 , 37.2365 , -113.348 , 34.2325
1.39 , 35.6318 , -91.1699 , 23.8733
1.39 , 37.2365 , -113.348 , 34.2325
1.4 , 35.6556 , -92.1914 , 23.8733
1.4 , 37.2365 , -113.348 , 34.2325
1.41 , 35.6793 , -92.2626 , 23.8496
1.41 , 37.2365 , -113.348 , 34.2325
1.42 , 35.7981 , -92.3339 , 23.8971
1.42 , 37.2365 , -113.348 , 34.2325
1.43 , 35.8931 , -92.4289 , 23.8733
1.43 , 37.2365 , -113.348 , 34.2325
1.44 , 35.9406 , -93.2128 , 23.8971
1.44 , 37.2365 , -113.348 , 34.2325
1.45 , 36.2257 , -94.4243 , 23.9208
1.45 , 37.2365 , -113.348 , 34.2325
1.46 , 36.487 , -94.4243 , 23.9208
1.46 , 37.2365 , -113.348 , 34.2325
1.47 , 36.5107 , -94.6381 , 23.8971
1.47 , 37.2365 , -113.348 , 34.2325
1.48 , 36.6057 , -95.1369 , 23.9921
1.48 , 37.2365 , -113.348 , 34.2325
1.49 , 36.677 , -95.7783 , 23.9683
1.49 , 37.2365 , -113.348 , 34.2325
1.5 , 36.6532 , -95.8733 , 23.9683
1.5 , 37.2365 , -113.348 , 34.2325
1.51 , 36.8433 , -96.2771 , 23.9683
1.51 , 37.2365 , -113.348 , 34.2325
1.52 , 36.8908 , -96.7522 , 23.9921
1.52 , 37.2365 , -113.348 , 34.2325
1.53 , 36.9145 , -97.1323 , 24.0396
1.53 , 37.2365 , -113.348 , 34.2325
1.54 , 37.0096 , -98.7001 , 24.0871
1.54 , 37.2365 , -113.348 , 34.2325
1.55 , 37.0571 , -99.2702 , 24.1346
1.55 , 37.2365 , -113.348 , 34.2325
1.56 , 37.0571 , -99.9353 , 24.2771
1.56 , 37.2365 , -113.348 , 34.2325
1.57 , 37.1521 , -100.838 , 24.2771
1.57 , 37.2365 , -113.348 , 34.2325
1.58 , 37.2234 , -100.933 , 24.4909
1.58 , 37.2365 , -113.348 , 34.2325
1.59 , 37.2234 , -100.933 , 25.1798
1.59 , 37.2365 , -113.348 , 34.2325
1.6 , 37.2471 , -101.099 , 26.8664
1.6 , 37.2365 , -113.348 , 34.2325
1.61 , 37.2471 , -101.361 , 27.294
1.61 , 37.2365 , -113.348 , 34.2325
1.62 , 37.2471 , -101.432 , 27.294
1.62 , 37.2365 , -113.348 , 34.2325
1.63 , 37.2471 , -102.168 , 27.3652
1.63 , 37.2365 , -113.348 , 34.2325
1.64 , 37.2234 , -103.546 , 27.3177
1.64 , 37.2365 , -113.348 , 34.2325
1.65 , 37.2471 , -103.546 , 27.3415
1.65 , 37.2365 , -113.348 , 34.2325
1.66 , 37.2471 , -103.641 , 27.3415
1.66 , 37.2365 , -113.348 , 34.2325
1.67 , 37.2471 , -103.997 , 27.294
1.67 , 37.2365 , -113.348 , 34.2325
1.68 , 37.2709 , -104.472 , 27.294
1.68 , 37.2365 , -113.348 , 34.2325
1.69 , 37.2709 , -104.496 , 27.294
1.69 , 37.2365 , -113.348 , 34.2325
1.7 , 37.2471 , -104.615 , 27.3652
1.7 , 37.2365 , -113.348 , 34.2325
1.71 , 37.2709 , -104.71 , 27.294
1.71 , 37.2365 , -113.348 , 34.2325
1.72 , 37.2471 , -105.185 , 27.294
1.72 , 37.2365 , -113.348 , 34.2325
1.73 , 37.2709 , -105.613 , 27.3177
1.73 , 37.2365 , -113.348 , 34.2325
1.74 , 37.2471 , -105.613 , 27.3177
1.74 , 37.2365 , -113.348 , 34.2325
1.75 , 37.2709 , -105.636 , 27.3177
1.75 , 37.2365 , -113.348 , 34.2325
1.76 , 37.2709 , -106.112 , 27.294
1.76 , 37.2365 , -113.348 , 34.2325
1.77 , 37.2471 , -106.539 , 27.294
1.77 , 37.2365 , -113.348 , 34.2325
1.78 , 37.2709 , -106.705 , 27.2465
1.78 , 37.2365 , -113.348 , 34.2325
1.79 , 37.2471 , -106.895 , 27.3415
1.79 , 37.2365 , -113.348 , 34.2325
1.8 , 37.2709 , -107.157 , 27.3177
