l1 0.093501, l2 0.119783, l3 0.0940253
1.85 , 37.2365 , -113.348 , 34.2325
1.86 , 30.9997 , -114.901 , 35.7268
1.86 , 37.2365 , -113.348 , 34.2325
1.87 , 31.166 , -114.758 , 35.7031
1.87 , 37.2365 , -113.348 , 34.2325
1.88 , 31.2135 , -114.924 , 35.7268
1.88 , 37.2365 , -113.348 , 34.2325
1.89 , 31.6173 , -114.948 , 35.6556
1.89 , 37.2365 , -113.348 , 34.2325
1.9 , 31.4985 , -114.996 , 35.7743
1.9 , 37.2365 , -113.348 , 34.2325
1.91 , 31.7836 , -114.901 , 35.8218
1.91 , 37.2365 , -113.348 , 34.2325
1.92 , 31.7598 , -114.924 , 35.6318
1.92 , 37.2365 , -113.348 , 34.2325
1.93 , 31.7123 , -114.901 , 35.7031
1.93 , 37.2365 , -113.348 , 34.2325
1.94 , 31.8073 , -114.853 , 35.5368
1.94 , 37.2365 , -113.348 , 34.2325
1.95 , 31.8073 , -114.948 , 35.6556
1.95 , 37.2365 , -113.348 , 34.2325
1.96 , 31.8311 , -114.901 , 35.5605
1.96 , 37.2365 , -113.348 , 34.2325
1.97 , 32.0924 , -115.019 , 35.9881
1.97 , 37.2365 , -113.348 , 34.2325
1.98 , 32.2349 , -114.924 , 36.5107
1.98 , 37.2365 , -113.348 , 34.2325
1.99 , 32.2587 , -114.972 , 36.487
1.99 , 37.2365 , -113.348 , 34.2325
2 , 32.5437 , -114.829 , 36.4395
2 , 37.2365 , -113.348 , 34.2325
2.01 , 32.71 , -114.853 , 36.4157
2.01 , 37.2365 , -113.348 , 34.2325
2.02 , 32.7338 , -114.806 , 36.3682
2.02 , 37.2365 , -113.348 , 34.2325
2.03 , 33.2564 , -114.924 , 36.4395
2.03 , 37.2365 , -113.348 , 34.2325
2.04 , 33.4939 , -114.806 , 36.4632
2.04 , 37.2365 , -113.348 , 34.2325
2.05 , 33.5177 , -114.924 , 36.1544
2.05 , 37.2365 , -113.348 , 34.2325
2.06 , 33.779 , -114.877 , 35.7031
2.06 , 37.2365 , -113.348 , 34.2325
2.07 , 33.9215 , -114.948 , 35.7268
2.07 , 37.2365 , -113.348 , 34.2325
2.08 , 33.9452 , -114.711 , 35.6556
2.08 , 37.2365 , -113.348 , 34.2325
2.09 , 34.2778 , -114.758 , 35.6318
2.09 , 37.2365 , -113.348 , 34.2325
2.1 , 34.4916 , -114.758 , 35.513
2.1 , 37.2365 , -113.348 , 34.2325
2.11 , 34.5391 , -114.663 , 35.513
